NameofPlayer,Club,Position,Nationality,FootPreference,JerseyNumber,YellowCardsReceived,RedCardsReceived,ContractStatus,InjuryStatus,League,CaptaincyStatus,TransferStatus,PerformanceRating,CompetitionType,Age,Height,Weight,NumberofGoals,NumberofAssists,NumberofAppearances,MinutesPlayed,PassCompletionPercentage,ShotsonTarget,NumberofFoulsCommitted,DribblesCompleted,CrossesCompleted,TacklesMade,Interceptions,Clearances
Romelu Lukaku,Liverpool,Defender,Spanish,Right,62,1,2,Expiring,Suspended,EPL,Yes,Not On Transfer List,Excellent,UEFA Champions League,28,185,74,25,13,111,26140,68.78,84,11,36,70,25,74,31
Jordan Henderson,Leicester City,Defender,Argentinian,Right,42,1,1,Active,Injured,EPL,No,Not On Transfer List,Poor,EPL,28,163,71,44,19,123,13684,57.6,75,30,61,90,11,82,44
Granit Xhaka,Chelsea,Defender,Portuguese,Both,57,9,0,Active,Fit,EPL,No,Not On Transfer List,Excellent,FA Cup,35,167,88,35,13,6,16858,58.57,78,47,50,28,96,45,96
Jamie Vardy,Chelsea,Goalkeeper,English,Left,12,7,0,On Loan,Suspended,On Loan,No,On Transfer List,Poor,FA Cup,33,180,61,9,0,11,21944,63.06,26,20,14,72,67,3,47
Ben White,Liverpool,Forward,Portuguese,Both,59,6,1,On Loan,Injured,EPL,No,On Transfer List,Good,UEFA Champions League,25,195,65,42,1,228,21329,71.28,26,60,13,63,79,46,54
Jordan Henderson,Manchester United,Midfielder,Argentinian,Both,72,0,2,Active,Suspended,On Loan,Yes,Not On Transfer List,Poor,FA Cup,34,162,96,31,8,281,2397,52.31,51,84,35,84,86,29,65
James Maddison,Chelsea,Forward,Spanish,Left,59,4,4,On Loan,Fit,EPL,Yes,On Transfer List,Good,EPL,22,162,94,38,11,53,13821,55.15,74,52,5,31,17,30,93
David de Gea,Manchester City,Forward,English,Both,70,11,0,On Loan,Fit,On Loan,No,On Transfer List,Poor,FA Cup,27,190,68,5,9,85,25700,77.75,41,15,59,68,9,45,136
Harry Maguire,Tottenham Hotspur,Defender,English,Right,19,2,1,Active,Fit,EPL,Yes,On Transfer List,Good,FA Cup,35,194,61,23,14,252,2646,77.97,42,16,69,44,62,54,98
Emile Smith Rowe,Chelsea,Goalkeeper,Spanish,Left,46,5,0,On Loan,Suspended,On Loan,No,Not On Transfer List,Average,EPL,29,183,94,37,17,54,6911,59.28,27,61,27,44,19,38,19
Dele Alli,Leicester City,Forward,Spanish,Right,56,3,1,On Loan,Suspended,On Loan,Yes,On Transfer List,Poor,UEFA Champions League,38,196,85,40,17,163,2317,70.67,2,84,14,17,32,29,59
Heung-Min Son,Arsenal,Midfielder,Argentinian,Left,1,4,4,On Loan,Fit,EPL,No,Not On Transfer List,Excellent,FA Cup,21,160,94,30,14,166,7961,91.52,54,49,52,56,110,93,73
Romelu Lukaku,Liverpool,Midfielder,English,Left,15,8,1,Expiring,Suspended,On Loan,Yes,On Transfer List,Excellent,EPL,29,182,88,43,13,254,16497,78.66,17,62,99,56,46,14,56
James Maddison,Liverpool,Midfielder,Spanish,Left,54,9,0,Active,Injured,On Loan,No,Not On Transfer List,Excellent,UEFA Champions League,37,168,69,49,19,72,8750,73.22,2,96,60,42,8,14,23
Ederson,Manchester City,Goalkeeper,Argentinian,Right,54,0,1,Expiring,Suspended,EPL,No,On Transfer List,Poor,EPL,23,195,83,41,15,279,24917,84.5,59,26,27,32,101,25,149
Phil Foden,Tottenham Hotspur,Midfielder,Portuguese,Both,53,5,3,Expiring,Injured,EPL,Yes,On Transfer List,Excellent,FA Cup,31,179,61,23,12,187,11764,53.39,58,83,48,21,116,8,106
Kai Havertz,Manchester City,Forward,Argentinian,Right,56,5,4,Active,Suspended,On Loan,Yes,Not On Transfer List,Good,EPL,31,172,63,30,18,259,24980,98.17,8,18,89,40,76,74,111
Eric Dier,Leicester City,Defender,English,Right,93,11,2,On Loan,Fit,EPL,Yes,On Transfer List,Poor,EPL,20,178,66,23,8,12,19194,86.68,18,86,18,76,7,13,89
Pierre-Emerick Aubameyang,Tottenham Hotspur,Goalkeeper,German,Right,77,8,3,On Loan,Suspended,EPL,No,On Transfer List,Average,EPL,21,168,68,47,19,244,20250,92.17,34,62,10,49,0,29,119
